"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R6,R4,R8,R2,R1,R7,R5,R3";"0603R";8;"10k";;;
2;"C6,C7";"0603C";2;"2u2";;;
3;"K2,K4";"easyC-connector";2;"easyC-SMD";;;
4;"JP6";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
5;"C3";"1206C";1;"10u";;;
6;"C5,C2,C1";"0603C";3;"100n";;;
7;"REF**";"Symbol-Front-Orientation2";1;"Symbol-Front-Orientation2";;;
8;"JP5,JP1,JP2,JP3";"SMD_JUMPER_3_PAD_TRACE";4;"SMD_JUMPER_3_PAD_TRACE";;;
9;"U1";"SOT-363";1;"NMOS-DUAL";;;
10;"C4";"0603C";1;"10n";;;
11;"U3";"SOT-23-5";1;"SE5218";;;
12;"U2";"LSM9DS1TR";1;"LSM9DS1TR";;;
13;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
14;"JP4";"SMD_JUMPER";1;"SMD_JUMPER";;;
15;"K3";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
16;"K1";"HEADER_MALE_9X1";1;"HEADER_MALE_9X1";;;
